ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
MMMV,MONCLOVA INTERNATIONAL,MONCLOVA,MEXICO,26.956,-101.47
MMMX,LICENCIADO BENITO JUAREZ INTERNATIONAL,MEXICO CITY,MEXICO,19.436,-99.072
MMMY,GENERAL MARIANO ESCOBEDO INTERNATIONAL,MONTERREY,MEXICO,25.778000000000002,-100.10700000000001
MMMZ,GENERAL RAFAEL BUELNA INTERNATIONAL,MAZATLAN,MEXICO,23.160999999999998,-106.266
MMNG,NOGALES INTERNATIONAL,NOGALES,MEXICO,31.226,-110.976
MMNL,QUETZALCOATL INTERNATIONAL,NUEVO LAREDO,MEXICO,27.444000000000003,-99.57
MMOX,XOXOCOTLAN INTERNATIONAL,OAXACA,MEXICO,17.0,-96.726
MMPA,TAJIN,POZA RICO,MEXICO,20.603,-97.461
MMPB,HERMANOS SERDAN INTERNATIONAL,PUEBLA,MEXICO,19.158,-98.37100000000001
MMPC,INGENIERO JUAN GUILLERMO VILLASANA,PACHUCA,MEXICO,20.077,-98.78200000000001
MMPE,PUNTA PENASCO,PUNTA PENASCO,MEXICO,31.351999999999997,-113.52600000000001
MMPG,PIEDRAS NEGRAS INTERNATIONAL,PIEDRAS NEGRAS,MEXICO,28.627,-100.535
MMPN,LICENCIADO Y GEN IGNACIO LOPEZ RAYON,URUAPAN,MEXICO,19.397000000000002,-102.039
MMPR,LICENCIADO GUSTAVO DIAZ ORDAZ INTERNATIONAL,PUERTO VALLARTA,MEXICO,20.68,-105.25399999999999
MMPS,PUERTO ESCONDIDO,PUERTO ESCONDIDO,MEXICO,15.877,-97.089
MMQT,INGENIERO F ESPINOZA GUTIERREZ INTERNATIONAL,QUERETARO,MEXICO,20.624000000000002,-100.369
MMRX,GENERAL LUCIO BLANCO INTERNATIONAL,REYNOSA,MEXICO,26.009,-98.228
